Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-02-06 18:20:10,false,"Barnet - W14D6-Easy Run","2.69","232","00:31:02","132","148","2.3","139","160","11:31","8:07","27","23","0.63","10.5","6.5","372","--","11:23","--","230","0.0","219","349","4,352","-6","16.0","No","00:01:02.4","4","27.0","--","--","--","00:30:50","00:31:02","50","64"
Running,2025-11-25 06:12:24,false,"Barnet Running","2.73","236","00:30:09","138","160","2.5","146","180","11:04","8:35","39","32","0.62","11.3","7.0","346","--","10:50","--","253","0.0","242","392","4,410","-10","13.0","No","00:08:01.2","3","26.0","--","--","--","00:30:05","00:30:09","50","90"
Running,2025-11-17 07:05:56,false,"Barnet - W03D2-Easy Run","2.76","237","00:30:42","132","146","2.4","144","165","11:07","7:46","32","23","0.62","11.2","6.9","347","--","10:57","--","251","0.0","237","387","4,434","-11","12.0","No","00:00:19.7","5","25.0","--","--","--","00:30:27","00:30:42","47","63"
Running,2025-11-13 06:44:48,false,"Barnet - W02D4-Threshold Run","2.88","258","00:30:55","142","170","3.1","139","174","10:43","6:21","31","27","0.67","11.0","7.0","319","--","10:43","--","271","0.0","235","404","4,310","-11","19.0","No","00:00:05.8","11","29.0","--","--","--","00:30:17","00:30:55","48","62"
Running,2025-11-10 07:49:15,false,"Barnet - W02D2-Easy Run","2.84","243","00:31:18","135","153","2.4","144","161","11:01","8:12","25","21","0.63","11.1","6.9","349","--","10:57","--","244","0.0","236","350","4,498","-9","18.0","No","00:00:07.9","5","28.0","--","--","--","00:31:15","00:31:18","50","65"
Running,2025-11-03 05:49:05,false,"Barnet - W01D2-Easy Run","2.85","240","00:31:34","132","145","2.4","143","161","11:04","7:54","30","25","0.63","11.1","6.9","349","--","10:57","--","246","0.0","237","384","4,524","-9","17.0","No","00:00:03.9","5","25.0","--","--","--","00:31:32","00:31:34","51","65"
Running,2025-10-31 08:01:05,false,"Barnet Running","2.79","238","00:30:04","137","155","2.3","145","161","10:46","8:07","27","24","0.64","10.9","7.0","351","--","10:41","--","249","0.0","242","351","4,358","-8","19.0","No","00:08:58.0","3","28.0","--","--","--","00:30:02","00:30:04","50","65"
Running,2025-10-29 07:30:30,false,"Barnet Running","2.75","228","00:30:03","130","143","2.2","144","158","10:55","7:36","19","15","0.63","10.8","6.8","358","--","10:55","--","236","0.0","230","335","4,342","-8","18.0","No","00:08:33.9","3","27.0","--","--","--","00:30:00","00:30:03","50","63"
Running,2025-10-28 07:04:09,false,"Barnet Running","2.83","241","00:30:03","134","153","2.1","148","157","10:37","8:01","28","25","0.63","11.3","7.2","335","--","10:33","--","255","0.0","250","336","4,446","-9","17.0","No","00:09:11.1","3","26.0","--","--","--","00:30:00","00:30:03","50","64"
Running,2024-09-03 06:13:27,false,"Barnet - W09D2-Easy Run","2.63","206","00:30:12","119","134","1.9","144","154","11:29","8:16","22","25","0.61","5.7","3.6","401","50.1% L / 49.9% R","11:28","--","150","0.0","146","264","4,298","-5","22.0","No","00:00:02.6","5","30.0","26","17","31","00:30:10","00:30:12","51","62"
Running,2024-09-01 06:58:39,false,"Barnet - W08D7-Long Run","8.77","719","01:38:26","128","148","3.0","143","162","11:13","7:21","95","98","0.64","5.8","3.8","401","49.8% L / 50.2% R","11:08","--","160","0.0","155","271","13,896","-11","22.0","No","00:00:14.4","13","28.0","26","16","39","01:38:15","01:38:26","50","112"
Running,2024-08-30 07:06:28,false,"Barnet - W08D5-Fartlek","2.71","222","00:43:20","104","128","0.7","108","163","15:59","8:28","8","9","0.59","7.2","4.3","482","50.1% L / 49.9% R","15:55","--","117","0.0","102","260","4,626","-9","19.0","No","00:03:20.2","4","27.0","20","12","28","00:43:06","00:43:20","52","58"
Running,2024-08-29 06:35:51,false,"Barnet - W08D3-Threshold Run","3.41","280","00:36:13","128","144","2.3","150","167","10:36","6:54","25","26","0.64","6.2","4.0","359","49.4% L / 50.6% R","10:34","--","180","0.0","172","298","5,372","-10","19.0","No","00:00:04.9","11","29.0","27","18","35","00:36:08","00:36:13","51","61"
Running,2024-08-25 06:57:28,false,"Barnet - W07D7-Long Run","18.37","1,535","03:45:25","132","154","3.6","128","190","12:16","5:50","154","156","0.65","6.7","4.4","452","49.7% L / 50.3% R","12:13","--","158","0.0","146","293","28,506","-33","15.0","No","00:00:05.8","24","27.0","27","15","37","03:36:58","03:45:26","51","125"
Running,2024-08-23 06:42:48,false,"Barnet - W07D4-Easy Run","3.31","270","00:35:06","131","143","2.2","150","160","10:36","8:45","31","34","0.64","6.1","4.0","379","49.9% L / 50.1% R","10:33","--","177","0.0","171","302","5,188","-10","20.0","No","00:00:01.6","6","28.0","27","20","35","00:35:05","00:35:06","50","63"
Running,2024-08-20 06:32:49,false,"Barnet - W07D2a-Easy Run","3.06","248","00:32:10","129","142","2.1","151","161","10:31","8:38","23","26","0.64","6.1","4.0","380","50.2% L / 49.8% R","10:29","--","178","0.0","175","265","4,800","-9","23.0","No","00:00:03.5","5","28.0","27","15","34","00:32:07","00:32:10","52","62"
